 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
  32.25   3.54874E-35   1.66110E-01   3.49944E-35   0.00000E+00
  32.34   3.54580E-35   1.67077E-01   3.49596E-35   0.00000E+00
  32.43   3.54286E-35   1.68046E-01   3.49248E-35   0.00000E+00
  32.52   3.53992E-35   1.69019E-01   3.48899E-35   0.00000E+00
  32.61   3.53698E-35   1.69995E-01   3.48549E-35   0.00000E+00
  32.70   3.53402E-35   1.70974E-01   3.48199E-35   0.00000E+00
  32.79   3.53107E-35   1.71956E-01   3.47847E-35   0.00000E+00
  32.88   3.52811E-35   1.72941E-01   3.47495E-35   0.00000E+00
  32.97   3.52515E-35   1.73929E-01   3.47142E-35   0.00000E+00
  33.06   3.52218E-35   1.74920E-01   3.46788E-35   0.00000E+00
  33.15   3.51921E-35   1.75914E-01   3.46433E-35   0.00000E+00
  33.24   3.51623E-35   1.76911E-01   3.46077E-35   0.00000E+00
  33.33   3.51325E-35   1.77912E-01   3.45720E-35   0.00000E+00
  33.42   3.51026E-35   1.78915E-01   3.45362E-35   0.00000E+00
  33.51   3.50728E-35   1.79921E-01   3.45004E-35   0.00000E+00
  33.60   3.50428E-35   1.80931E-01   3.44645E-35   0.00000E+00
  33.69   3.50129E-35   1.81943E-01   3.44285E-35   0.00000E+00
  33.78   3.49829E-35   1.82959E-01   3.43924E-35   0.00000E+00
  33.87   3.49528E-35   1.83978E-01   3.43562E-35   0.00000E+00
  33.96   3.49227E-35   1.84999E-01   3.43199E-35   0.00000E+00
  34.05   3.48926E-35   1.86024E-01   3.42836E-35   0.00000E+00
  34.14   3.48625E-35   1.87052E-01   3.42471E-35   0.00000E+00
  34.23   3.48323E-35   1.88083E-01   3.42106E-35   0.00000E+00
  34.32   3.48020E-35   1.89117E-01   3.41740E-35   0.00000E+00
  34.41   3.47718E-35   1.90154E-01   3.41373E-35   0.00000E+00
  34.50   3.47415E-35   1.91194E-01   3.41006E-35   0.00000E+00
  34.59   3.47111E-35   1.92237E-01   3.40637E-35   0.00000E+00
  34.68   3.46807E-35   1.93284E-01   3.40268E-35   0.00000E+00
  34.77   3.46503E-35   1.94333E-01   3.39897E-35   0.00000E+00
  34.86   3.46199E-35   1.95386E-01   3.39526E-35   0.00000E+00
  34.95   3.45894E-35   1.96441E-01   3.39154E-35   0.00000E+00
  35.05   3.45589E-35   1.97500E-01   3.38782E-35   0.00000E+00
  35.14   3.45283E-35   1.98561E-01   3.38408E-35   0.00000E+00
  35.23   3.44977E-35   1.99626E-01   3.38034E-35   0.00000E+00
  35.32   3.44671E-35   2.00694E-01   3.37658E-35   0.00000E+00
  35.41   3.44364E-35   2.01765E-01   3.37282E-35   0.00000E+00
  35.50   3.44057E-35   2.02839E-01   3.36905E-35   0.00000E+00
  35.59   3.43750E-35   2.03916E-01   3.36527E-35   0.00000E+00
  35.68   3.43443E-35   2.04997E-01   3.36149E-35   0.00000E+00
  35.77   3.43135E-35   2.06080E-01   3.35769E-35   0.00000E+00
  35.86   3.42826E-35   2.07166E-01   3.35389E-35   0.00000E+00
  35.95   3.42518E-35   2.08256E-01   3.35008E-35   0.00000E+00
  36.04   3.42209E-35   2.09348E-01   3.34626E-35   0.00000E+00
  36.13   3.41900E-35   2.10444E-01   3.34243E-35   0.00000E+00
  36.22   3.41590E-35   2.11543E-01   3.33860E-35   0.00000E+00
  36.31   3.41280E-35   2.12645E-01   3.33475E-35   0.00000E+00
  36.40   3.40970E-35   2.13750E-01   3.33090E-35   0.00000E+00
  36.49   3.40660E-35   2.14858E-01   3.32704E-35   0.00000E+00
  36.58   3.40349E-35   2.15969E-01   3.32317E-35   0.00000E+00
  36.67   3.40038E-35   2.17083E-01   3.31929E-35   0.00000E+00
  36.76   3.39727E-35   2.18200E-01   3.31541E-35   0.00000E+00
  36.85   3.39415E-35   2.19321E-01   3.31151E-35   0.00000E+00
  36.94   3.39103E-35   2.20444E-01   3.30761E-35   0.00000E+00
  37.03   3.38791E-35   2.21571E-01   3.30370E-35   0.00000E+00
  37.12   3.38479E-35   2.22701E-01   3.29978E-35   0.00000E+00
  37.21   3.38166E-35   2.23833E-01   3.29586E-35   0.00000E+00
  37.30   3.37853E-35   2.24969E-01   3.29192E-35   0.00000E+00
  37.39   3.37540E-35   2.26108E-01   3.28798E-35   0.00000E+00
  37.48   3.37226E-35   2.27250E-01   3.28403E-35   0.00000E+00
  37.57   3.36912E-35   2.28396E-01   3.28007E-35   0.00000E+00
  37.66   3.36598E-35   2.29544E-01   3.27611E-35   0.00000E+00
  37.75   3.36284E-35   2.30695E-01   3.27213E-35   0.00000E+00
  37.84   3.35969E-35   2.31850E-01   3.26815E-35   0.00000E+00
  37.93   3.35655E-35   2.33008E-01   3.26416E-35   0.00000E+00
  38.02   3.35339E-35   2.34168E-01   3.26016E-35   0.00000E+00
  38.11   3.35024E-35   2.35332E-01   3.25615E-35   0.00000E+00
  38.20   3.34709E-35   2.36499E-01   3.25213E-35   0.00000E+00
  38.29   3.34393E-35   2.37669E-01   3.24811E-35   0.00000E+00
  38.38   3.34077E-35   2.38842E-01   3.24408E-35   0.00000E+00
  38.47   3.33760E-35   2.40018E-01   3.24004E-35   0.00000E+00
  38.56   3.33444E-35   2.41197E-01   3.23599E-35   0.00000E+00
  38.65   3.33127E-35   2.42379E-01   3.23194E-35   0.00000E+00
  38.74   3.32810E-35   2.43565E-01   3.22787E-35   0.00000E+00
  38.83   3.32493E-35   2.44753E-01   3.22380E-35   0.00000E+00
  38.92   3.32176E-35   2.45945E-01   3.21972E-35   0.00000E+00
  39.01   3.31858E-35   2.47140E-01   3.21564E-35   0.00000E+00
  39.10   3.31540E-35   2.48338E-01   3.21154E-35   0.00000E+00
  39.19   3.31222E-35   2.49538E-01   3.20744E-35   0.00000E+00
  39.28   3.30904E-35   2.50742E-01   3.20333E-35   0.00000E+00
  39.37   3.30585E-35   2.51949E-01   3.19921E-35   0.00000E+00
  39.46   3.30267E-35   2.53160E-01   3.19508E-35   0.00000E+00
  39.55   3.29948E-35   2.54373E-01   3.19095E-35   0.00000E+00
  39.64   3.29629E-35   2.55589E-01   3.18680E-35   0.00000E+00
  39.73   3.29309E-35   2.56809E-01   3.18265E-35   0.00000E+00
  39.82   3.28990E-35   2.58031E-01   3.17849E-35   0.00000E+00
  39.91   3.28670E-35   2.59257E-01   3.17433E-35   0.00000E+00
  40.00   3.28351E-35   2.60485E-01   3.17015E-35   0.00000E+00
  40.09   3.28031E-35   2.61717E-01   3.16597E-35   0.00000E+00
  40.18   3.27710E-35   2.62952E-01   3.16178E-35   0.00000E+00
  40.27   3.27390E-35   2.64190E-01   3.15758E-35   0.00000E+00
  40.36   3.27070E-35   2.65431E-01   3.15338E-35   0.00000E+00
  40.45   3.26749E-35   2.66675E-01   3.14916E-35   0.00000E+00
  40.54   3.26428E-35   2.67922E-01   3.14494E-35   0.00000E+00
  40.63   3.26107E-35   2.69172E-01   3.14071E-35   0.00000E+00
  40.72   3.25786E-35   2.70425E-01   3.13648E-35   0.00000E+00
  40.81   3.25465E-35   2.71682E-01   3.13223E-35   0.00000E+00
  40.90   3.25143E-35   2.72941E-01   3.12798E-35   0.00000E+00
  40.99   3.24822E-35   2.74204E-01   3.12372E-35   0.00000E+00
  41.08   3.24500E-35   2.75469E-01   3.11945E-35   0.00000E+00
  41.17   3.24178E-35   2.76738E-01   3.11518E-35   0.00000E+00
  41.26   3.23856E-35   2.78009E-01   3.11089E-35   0.00000E+00
  41.35   3.23534E-35   2.79284E-01   3.10660E-35   0.00000E+00
  41.44   3.23212E-35   2.80562E-01   3.10230E-35   0.00000E+00
  41.53   3.22890E-35   2.81843E-01   3.09800E-35   0.00000E+00
  41.62   3.22567E-35   2.83127E-01   3.09368E-35   0.00000E+00
  41.71   3.22244E-35   2.84414E-01   3.08936E-35   0.00000E+00
  41.80   3.21922E-35   2.85704E-01   3.08503E-35   0.00000E+00
  41.89   3.21599E-35   2.86997E-01   3.08070E-35   0.00000E+00
  41.98   3.21276E-35   2.88293E-01   3.07635E-35   0.00000E+00
  42.07   3.20953E-35   2.89592E-01   3.07200E-35   0.00000E+00
  42.16   3.20630E-35   2.90894E-01   3.06764E-35   0.00000E+00
  42.25   3.20306E-35   2.92199E-01   3.06327E-35   0.00000E+00
  42.34   3.19983E-35   2.93507E-01   3.05890E-35   0.00000E+00
  42.43   3.19659E-35   2.94819E-01   3.05452E-35   0.00000E+00
  42.52   3.19336E-35   2.96133E-01   3.05013E-35   0.00000E+00
  42.61   3.19012E-35   2.97450E-01   3.04573E-35   0.00000E+00
  42.70   3.18688E-35   2.98771E-01   3.04132E-35   0.00000E+00
  42.79   3.18365E-35   3.00094E-01   3.03691E-35   0.00000E+00
  42.88   3.18041E-35   3.01421E-01   3.03249E-35   0.00000E+00
  42.97   3.17717E-35   3.02750E-01   3.02806E-35   0.00000E+00
  43.06   3.17393E-35   3.04082E-01   3.02363E-35   0.00000E+00
  43.15   3.17069E-35   3.05418E-01   3.01919E-35   0.00000E+00
  43.24   3.16744E-35   3.06756E-01   3.01474E-35   0.00000E+00
  43.33   3.16420E-35   3.08098E-01   3.01028E-35   0.00000E+00
  43.42   3.16096E-35   3.09442E-01   3.00581E-35   0.00000E+00
  43.51   3.15771E-35   3.10790E-01   3.00134E-35   0.00000E+00
  43.60   3.15447E-35   3.12140E-01   2.99686E-35   0.00000E+00
  43.69   3.15123E-35   3.13494E-01   2.99237E-35   0.00000E+00
  43.78   3.14798E-35   3.14850E-01   2.98788E-35   0.00000E+00
  43.87   3.14473E-35   3.16209E-01   2.98338E-35   0.00000E+00
  43.96   3.14149E-35   3.17572E-01   2.97887E-35   0.00000E+00
  44.05   3.13824E-35   3.18937E-01   2.97435E-35   0.00000E+00
  44.14   3.13500E-35   3.20306E-01   2.96983E-35   0.00000E+00
  44.23   3.13175E-35   3.21677E-01   2.96529E-35   0.00000E+00
  44.32   3.12850E-35   3.23051E-01   2.96076E-35   0.00000E+00
  44.41   3.12525E-35   3.24428E-01   2.95621E-35   0.00000E+00
  44.50   3.12201E-35   3.25808E-01   2.95166E-35   0.00000E+00
  44.59   3.11876E-35   3.27192E-01   2.94710E-35   0.00000E+00
  44.68   3.11551E-35   3.28578E-01   2.94253E-35   0.00000E+00
  44.77   3.11226E-35   3.29967E-01   2.93795E-35   0.00000E+00
  44.86   3.10901E-35   3.31359E-01   2.93337E-35   0.00000E+00
  44.95   3.10577E-35   3.32754E-01   2.92878E-35   0.00000E+00
  45.05   3.10252E-35   3.34151E-01   2.92418E-35   0.00000E+00
  45.14   3.09927E-35   3.35552E-01   2.91958E-35   0.00000E+00
  45.23   3.09602E-35   3.36956E-01   2.91497E-35   0.00000E+00
  45.32   3.09277E-35   3.38363E-01   2.91035E-35   0.00000E+00
  45.41   3.08952E-35   3.39772E-01   2.90572E-35   0.00000E+00
  45.50   3.08628E-35   3.41184E-01   2.90109E-35   0.00000E+00
  45.59   3.08303E-35   3.42600E-01   2.89645E-35   0.00000E+00
  45.68   3.07978E-35   3.44018E-01   2.89180E-35   0.00000E+00
  45.77   3.07653E-35   3.45439E-01   2.88715E-35   0.00000E+00
  45.86   3.07329E-35   3.46863E-01   2.88248E-35   0.00000E+00
  45.95   3.07004E-35   3.48290E-01   2.87782E-35   0.00000E+00
  46.04   3.06679E-35   3.49720E-01   2.87314E-35   0.00000E+00
  46.13   3.06355E-35   3.51152E-01   2.86846E-35   0.00000E+00
  46.22   3.06030E-35   3.52588E-01   2.86377E-35   0.00000E+00
  46.31   3.05706E-35   3.54026E-01   2.85907E-35   0.00000E+00
  46.40   3.05381E-35   3.55467E-01   2.85436E-35   0.00000E+00
  46.49   3.05057E-35   3.56911E-01   2.84965E-35   0.00000E+00
  46.58   3.04732E-35   3.58358E-01   2.84493E-35   0.00000E+00
  46.67   3.04408E-35   3.59808E-01   2.84021E-35   0.00000E+00
  46.76   3.04084E-35   3.61261E-01   2.83548E-35   0.00000E+00
  46.85   3.03760E-35   3.62716E-01   2.83074E-35   0.00000E+00
  46.94   3.03436E-35   3.64174E-01   2.82599E-35   0.00000E+00
  47.03   3.03111E-35   3.65635E-01   2.82124E-35   0.00000E+00
  47.12   3.02787E-35   3.67099E-01   2.81647E-35   0.00000E+00
  47.21   3.02464E-35   3.68565E-01   2.81171E-35   0.00000E+00
  47.30   3.02140E-35   3.70035E-01   2.80693E-35   0.00000E+00
  47.39   3.01816E-35   3.71507E-01   2.80215E-35   0.00000E+00
  47.48   3.01492E-35   3.72982E-01   2.79736E-35   0.00000E+00
  47.57   3.01169E-35   3.74460E-01   2.79257E-35   0.00000E+00
  47.66   3.00845E-35   3.75940E-01   2.78776E-35   0.00000E+00
  47.75   3.00522E-35   3.77423E-01   2.78296E-35   0.00000E+00
  47.84   3.00199E-35   3.78909E-01   2.77814E-35   0.00000E+00
  47.93   2.99875E-35   3.80398E-01   2.77332E-35   0.00000E+00
  48.02   2.99552E-35   3.81889E-01   2.76849E-35   0.00000E+00
  48.11   2.99229E-35   3.83384E-01   2.76365E-35   0.00000E+00
  48.20   2.98906E-35   3.84881E-01   2.75881E-35   0.00000E+00
  48.29   2.98584E-35   3.86380E-01   2.75396E-35   0.00000E+00
  48.38   2.98261E-35   3.87882E-01   2.74910E-35   0.00000E+00
  48.47   2.97938E-35   3.89387E-01   2.74423E-35   0.00000E+00
  48.56   2.97616E-35   3.90895E-01   2.73936E-35   0.00000E+00
  48.65   2.97294E-35   3.92405E-01   2.73449E-35   0.00000E+00
  48.74   2.96972E-35   3.93919E-01   2.72960E-35   0.00000E+00
  48.83   2.96650E-35   3.95434E-01   2.72471E-35   0.00000E+00
  48.92   2.96328E-35   3.96953E-01   2.71981E-35   0.00000E+00
  49.01   2.96006E-35   3.98474E-01   2.71491E-35   0.00000E+00
  49.10   2.95684E-35   3.99997E-01   2.71000E-35   0.00000E+00
  49.19   2.95363E-35   4.01524E-01   2.70508E-35   0.00000E+00
  49.28   2.95042E-35   4.03052E-01   2.70015E-35   0.00000E+00
  49.37   2.94721E-35   4.04584E-01   2.69522E-35   0.00000E+00
  49.46   2.94400E-35   4.06118E-01   2.69028E-35   0.00000E+00
  49.55   2.94079E-35   4.07655E-01   2.68534E-35   0.00000E+00
  49.64   2.93758E-35   4.09194E-01   2.68039E-35   0.00000E+00
  49.73   2.93438E-35   4.10736E-01   2.67543E-35   0.00000E+00
  49.82   2.93117E-35   4.12280E-01   2.67046E-35   0.00000E+00
  49.91   2.92797E-35   4.13827E-01   2.66549E-35   0.00000E+00
  50.00   2.92477E-35   4.15377E-01   2.66052E-35   0.00000E+00
  50.09   2.92157E-35   4.16929E-01   2.65553E-35   0.00000E+00
  50.18   2.91838E-35   4.18483E-01   2.65054E-35   0.00000E+00
  50.27   2.91518E-35   4.20040E-01   2.64554E-35   0.00000E+00
  50.36   2.91199E-35   4.21600E-01   2.64054E-35   0.00000E+00
  50.45   2.90880E-35   4.23162E-01   2.63553E-35   0.00000E+00
  50.54   2.90561E-35   4.24727E-01   2.63051E-35   0.00000E+00
  50.63   2.90242E-35   4.26294E-01   2.62549E-35   0.00000E+00
  50.72   2.89924E-35   4.27863E-01   2.62046E-35   0.00000E+00
  50.81   2.89605E-35   4.29435E-01   2.61542E-35   0.00000E+00
  50.90   2.89287E-35   4.31010E-01   2.61038E-35   0.00000E+00
  50.99   2.88969E-35   4.32586E-01   2.60533E-35   0.00000E+00
  51.08   2.88652E-35   4.34166E-01   2.60027E-35   0.00000E+00
  51.17   2.88334E-35   4.35747E-01   2.59521E-35   0.00000E+00
  51.26   2.88017E-35   4.37331E-01   2.59014E-35   0.00000E+00
  51.35   2.87700E-35   4.38918E-01   2.58506E-35   0.00000E+00
  51.44   2.87383E-35   4.40507E-01   2.57998E-35   0.00000E+00
  51.53   2.87067E-35   4.42098E-01   2.57489E-35   0.00000E+00
  51.62   2.86750E-35   4.43692E-01   2.56980E-35   0.00000E+00
  51.71   2.86434E-35   4.45287E-01   2.56470E-35   0.00000E+00
  51.80   2.86118E-35   4.46886E-01   2.55959E-35   0.00000E+00
  51.89   2.85803E-35   4.48486E-01   2.55448E-35   0.00000E+00
  51.98   2.85487E-35   4.50089E-01   2.54936E-35   0.00000E+00
  52.07   2.85172E-35   4.51694E-01   2.54423E-35   0.00000E+00
  52.16   2.84857E-35   4.53302E-01   2.53910E-35   0.00000E+00
  52.25   2.84543E-35   4.54911E-01   2.53396E-35   0.00000E+00
  52.34   2.84228E-35   4.56523E-01   2.52881E-35   0.00000E+00
  52.43   2.83914E-35   4.58137E-01   2.52366E-35   0.00000E+00
  52.52   2.83601E-35   4.59754E-01   2.51850E-35   0.00000E+00
  52.61   2.83287E-35   4.61372E-01   2.51334E-35   0.00000E+00
  52.70   2.82974E-35   4.62993E-01   2.50817E-35   0.00000E+00
  52.79   2.82661E-35   4.64616E-01   2.50299E-35   0.00000E+00
  52.88   2.82348E-35   4.66241E-01   2.49781E-35   0.00000E+00
  52.97   2.82035E-35   4.67869E-01   2.49262E-35   0.00000E+00
  53.06   2.81723E-35   4.69498E-01   2.48743E-35   0.00000E+00
  53.15   2.81411E-35   4.71130E-01   2.48223E-35   0.00000E+00
  53.24   2.81100E-35   4.72764E-01   2.47702E-35   0.00000E+00
  53.33   2.80788E-35   4.74399E-01   2.47181E-35   0.00000E+00
  53.42   2.80477E-35   4.76037E-01   2.46659E-35   0.00000E+00
  53.51   2.80166E-35   4.77677E-01   2.46136E-35   0.00000E+00
  53.60   2.79856E-35   4.79319E-01   2.45613E-35   0.00000E+00
  53.69   2.79546E-35   4.80963E-01   2.45089E-35   0.00000E+00
  53.78   2.79236E-35   4.82610E-01   2.44565E-35   0.00000E+00
  53.87   2.78926E-35   4.84258E-01   2.44040E-35   0.00000E+00
  53.96   2.78617E-35   4.85908E-01   2.43514E-35   0.00000E+00
  54.05   2.78308E-35   4.87560E-01   2.42988E-35   0.00000E+00
  54.14   2.78000E-35   4.89214E-01   2.42461E-35   0.00000E+00
  54.23   2.77691E-35   4.90870E-01   2.41934E-35   0.00000E+00
  54.32   2.77383E-35   4.92528E-01   2.41406E-35   0.00000E+00
  54.41   2.77076E-35   4.94188E-01   2.40877E-35   0.00000E+00
  54.50   2.76768E-35   4.95850E-01   2.40348E-35   0.00000E+00
  54.59   2.76461E-35   4.97514E-01   2.39818E-35   0.00000E+00
  54.68   2.76155E-35   4.99179E-01   2.39288E-35   0.00000E+00
  54.77   2.75848E-35   5.00847E-01   2.38757E-35   0.00000E+00
  54.86   2.75542E-35   5.02516E-01   2.38225E-35   0.00000E+00
  54.95   2.75237E-35   5.04187E-01   2.37693E-35   0.00000E+00
  55.05   2.74932E-35   5.05860E-01   2.37160E-35   0.00000E+00
  55.14   2.74627E-35   5.07535E-01   2.36627E-35   0.00000E+00
  55.23   2.74322E-35   5.09212E-01   2.36093E-35   0.00000E+00
  55.32   2.74018E-35   5.10890E-01   2.35558E-35   0.00000E+00
  55.41   2.73714E-35   5.12570E-01   2.35023E-35   0.00000E+00
  55.50   2.73411E-35   5.14252E-01   2.34488E-35   0.00000E+00
  55.59   2.73107E-35   5.15935E-01   2.33951E-35   0.00000E+00
  55.68   2.72805E-35   5.17620E-01   2.33415E-35   0.00000E+00
  55.77   2.72502E-35   5.19307E-01   2.32877E-35   0.00000E+00
  55.86   2.72200E-35   5.20996E-01   2.32339E-35   0.00000E+00
  55.95   2.71899E-35   5.22686E-01   2.31801E-35   0.00000E+00
  56.04   2.71598E-35   5.24377E-01   2.31261E-35   0.00000E+00
  56.13   2.71297E-35   5.26071E-01   2.30722E-35   0.00000E+00
  56.22   2.70996E-35   5.27766E-01   2.30181E-35   0.00000E+00
  56.31   2.70696E-35   5.29462E-01   2.29641E-35   0.00000E+00
  56.40   2.70396E-35   5.31160E-01   2.29099E-35   0.00000E+00
  56.49   2.70097E-35   5.32860E-01   2.28557E-35   0.00000E+00
  56.58   2.69798E-35   5.34561E-01   2.28015E-35   0.00000E+00
  56.67   2.69500E-35   5.36263E-01   2.27471E-35   0.00000E+00
  56.76   2.69202E-35   5.37967E-01   2.26928E-35   0.00000E+00
  56.85   2.68904E-35   5.39673E-01   2.26383E-35   0.00000E+00
  56.94   2.68607E-35   5.41380E-01   2.25839E-35   0.00000E+00
  57.03   2.68310E-35   5.43088E-01   2.25293E-35   0.00000E+00
  57.12   2.68013E-35   5.44797E-01   2.24747E-35   0.00000E+00
  57.21   2.67717E-35   5.46508E-01   2.24201E-35   0.00000E+00
  57.30   2.67422E-35   5.48221E-01   2.23654E-35   0.00000E+00
  57.39   2.67127E-35   5.49934E-01   2.23106E-35   0.00000E+00
  57.48   2.66832E-35   5.51649E-01   2.22558E-35   0.00000E+00
  57.57   2.66537E-35   5.53366E-01   2.22009E-35   0.00000E+00
  57.66   2.66244E-35   5.55083E-01   2.21460E-35   0.00000E+00
  57.75   2.65950E-35   5.56802E-01   2.20910E-35   0.00000E+00
  57.84   2.65657E-35   5.58522E-01   2.20360E-35   0.00000E+00
  57.93   2.65365E-35   5.60243E-01   2.19809E-35   0.00000E+00
  58.02   2.65072E-35   5.61965E-01   2.19258E-35   0.00000E+00
  58.11   2.64781E-35   5.63689E-01   2.18706E-35   0.00000E+00
  58.20   2.64490E-35   5.65413E-01   2.18153E-35   0.00000E+00
  58.29   2.64199E-35   5.67139E-01   2.17600E-35   0.00000E+00
  58.38   2.63909E-35   5.68866E-01   2.17046E-35   0.00000E+00
  58.47   2.63619E-35   5.70594E-01   2.16492E-35   0.00000E+00
  58.56   2.63329E-35   5.72323E-01   2.15938E-35   0.00000E+00
  58.65   2.63040E-35   5.74053E-01   2.15382E-35   0.00000E+00
  58.74   2.62752E-35   5.75783E-01   2.14827E-35   0.00000E+00
  58.83   2.62464E-35   5.77515E-01   2.14270E-35   0.00000E+00
  58.92   2.62176E-35   5.79248E-01   2.13713E-35   0.00000E+00
  59.01   2.61889E-35   5.80982E-01   2.13156E-35   0.00000E+00
  59.10   2.61603E-35   5.82717E-01   2.12598E-35   0.00000E+00
  59.19   2.61317E-35   5.84452E-01   2.12040E-35   0.00000E+00
  59.28   2.61031E-35   5.86188E-01   2.11481E-35   0.00000E+00
  59.37   2.60746E-35   5.87926E-01   2.10921E-35   0.00000E+00
  59.46   2.60462E-35   5.89664E-01   2.10361E-35   0.00000E+00
  59.55   2.60177E-35   5.91403E-01   2.09801E-35   0.00000E+00
  59.64   2.59894E-35   5.93142E-01   2.09240E-35   0.00000E+00
  59.73   2.59611E-35   5.94882E-01   2.08678E-35   0.00000E+00
  59.82   2.59328E-35   5.96623E-01   2.08116E-35   0.00000E+00
  59.91   2.59046E-35   5.98365E-01   2.07554E-35   0.00000E+00
  60.00   2.58764E-35   6.00107E-01   2.06991E-35   0.00000E+00
  60.09   2.58483E-35   6.01850E-01   2.06427E-35   0.00000E+00
  60.18   2.58203E-35   6.03594E-01   2.05863E-35   0.00000E+00
  60.27   2.57923E-35   6.05338E-01   2.05298E-35   0.00000E+00
  60.36   2.57643E-35   6.07083E-01   2.04733E-35   0.00000E+00
  60.45   2.57364E-35   6.08828E-01   2.04168E-35   0.00000E+00
  60.54   2.57086E-35   6.10574E-01   2.03601E-35   0.00000E+00
  60.63   2.56808E-35   6.12320E-01   2.03035E-35   0.00000E+00
  60.72   2.56530E-35   6.14066E-01   2.02468E-35   0.00000E+00
  60.81   2.56253E-35   6.15814E-01   2.01900E-35   0.00000E+00
  60.90   2.55977E-35   6.17561E-01   2.01332E-35   0.00000E+00
  60.99   2.55701E-35   6.19309E-01   2.00763E-35   0.00000E+00
  61.08   2.55426E-35   6.21057E-01   2.00194E-35   0.00000E+00
  61.17   2.55151E-35   6.22805E-01   1.99624E-35   0.00000E+00
  61.26   2.54877E-35   6.24554E-01   1.99054E-35   0.00000E+00
  61.35   2.54603E-35   6.26303E-01   1.98484E-35   0.00000E+00
  61.44   2.54330E-35   6.28052E-01   1.97912E-35   0.00000E+00
  61.53   2.54058E-35   6.29802E-01   1.97341E-35   0.00000E+00
  61.62   2.53786E-35   6.31551E-01   1.96769E-35   0.00000E+00
  61.71   2.53514E-35   6.33301E-01   1.96196E-35   0.00000E+00
  61.80   2.53243E-35   6.35051E-01   1.95623E-35   0.00000E+00
  61.89   2.52973E-35   6.36801E-01   1.95049E-35   0.00000E+00
  61.98   2.52703E-35   6.38551E-01   1.94475E-35   0.00000E+00
  62.07   2.52434E-35   6.40301E-01   1.93901E-35   0.00000E+00
  62.16   2.52166E-35   6.42051E-01   1.93326E-35   0.00000E+00
  62.25   2.51898E-35   6.43801E-01   1.92750E-35   0.00000E+00
  62.34   2.51630E-35   6.45551E-01   1.92174E-35   0.00000E+00
  62.43   2.51363E-35   6.47301E-01   1.91598E-35   0.00000E+00
  62.52   2.51097E-35   6.49051E-01   1.91021E-35   0.00000E+00
  62.61   2.50831E-35   6.50800E-01   1.90444E-35   0.00000E+00
  62.70   2.50566E-35   6.52550E-01   1.89866E-35   0.00000E+00
  62.79   2.50302E-35   6.54299E-01   1.89287E-35   0.00000E+00
  62.88   2.50038E-35   6.56048E-01   1.88708E-35   0.00000E+00
  62.97   2.49775E-35   6.57796E-01   1.88129E-35   0.00000E+00
  63.06   2.49512E-35   6.59545E-01   1.87549E-35   0.00000E+00
  63.15   2.49250E-35   6.61293E-01   1.86969E-35   0.00000E+00
  63.24   2.48988E-35   6.63041E-01   1.86389E-35   0.00000E+00
  63.33   2.48727E-35   6.64788E-01   1.85807E-35   0.00000E+00
  63.42   2.48467E-35   6.66535E-01   1.85226E-35   0.00000E+00
  63.51   2.48207E-35   6.68281E-01   1.84644E-35   0.00000E+00
  63.60   2.47948E-35   6.70027E-01   1.84061E-35   0.00000E+00
  63.69   2.47690E-35   6.71773E-01   1.83478E-35   0.00000E+00
  63.78   2.47432E-35   6.73517E-01   1.82895E-35   0.00000E+00
  63.87   2.47175E-35   6.75262E-01   1.82311E-35   0.00000E+00
  63.96   2.46918E-35   6.77005E-01   1.81727E-35   0.00000E+00
  64.05   2.46663E-35   6.78748E-01   1.81142E-35   0.00000E+00
  64.14   2.46407E-35   6.80491E-01   1.80557E-35   0.00000E+00
  64.23   2.46153E-35   6.82232E-01   1.79971E-35   0.00000E+00
  64.32   2.45898E-35   6.83973E-01   1.79385E-35   0.00000E+00
  64.41   2.45645E-35   6.85713E-01   1.78798E-35   0.00000E+00
  64.50   2.45392E-35   6.87453E-01   1.78211E-35   0.00000E+00
  64.59   2.45140E-35   6.89191E-01   1.77624E-35   0.00000E+00
  64.68   2.44889E-35   6.90929E-01   1.77036E-35   0.00000E+00
  64.77   2.44638E-35   6.92665E-01   1.76447E-35   0.00000E+00
  64.86   2.44388E-35   6.94401E-01   1.75859E-35   0.00000E+00
  64.95   2.44138E-35   6.96136E-01   1.75269E-35   0.00000E+00
  65.05   2.43889E-35   6.97869E-01   1.74680E-35   0.00000E+00
  65.14   2.43641E-35   6.99602E-01   1.74090E-35   0.00000E+00
  65.23   2.43394E-35   7.01333E-01   1.73499E-35   0.00000E+00
  65.32   2.43147E-35   7.03064E-01   1.72908E-35   0.00000E+00
  65.41   2.42901E-35   7.04793E-01   1.72317E-35   0.00000E+00
  65.50   2.42655E-35   7.06521E-01   1.71725E-35   0.00000E+00
  65.59   2.42410E-35   7.08248E-01   1.71133E-35   0.00000E+00
  65.68   2.42166E-35   7.09974E-01   1.70540E-35   0.00000E+00
  65.77   2.41922E-35   7.11698E-01   1.69947E-35   0.00000E+00
  65.86   2.41680E-35   7.13421E-01   1.69353E-35   0.00000E+00
