 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
   7.39   4.10281E-35   8.33990E-03   4.10267E-35   0.00000E+00
   7.48   4.10198E-35   8.54512E-03   4.10183E-35   0.00000E+00
   7.57   4.10114E-35   8.75285E-03   4.10098E-35   0.00000E+00
   7.66   4.10028E-35   8.96311E-03   4.10012E-35   0.00000E+00
   7.75   4.09942E-35   9.17582E-03   4.09925E-35   0.00000E+00
   7.84   4.09855E-35   9.39123E-03   4.09837E-35   0.00000E+00
   7.93   4.09767E-35   9.60900E-03   4.09748E-35   0.00000E+00
   8.02   4.09677E-35   9.82930E-03   4.09658E-35   0.00000E+00
   8.11   4.09587E-35   1.00522E-02   4.09566E-35   0.00000E+00
   8.20   4.09496E-35   1.02776E-02   4.09474E-35   0.00000E+00
   8.29   4.09404E-35   1.05054E-02   4.09381E-35   0.00000E+00
   8.38   4.09311E-35   1.07359E-02   4.09287E-35   0.00000E+00
   8.47   4.09217E-35   1.09688E-02   4.09192E-35   0.00000E+00
   8.56   4.09121E-35   1.12043E-02   4.09096E-35   0.00000E+00
   8.65   4.09025E-35   1.14423E-02   4.08999E-35   0.00000E+00
   8.74   4.08928E-35   1.16828E-02   4.08900E-35   0.00000E+00
   8.83   4.08830E-35   1.19260E-02   4.08801E-35   0.00000E+00
   8.92   4.08731E-35   1.21715E-02   4.08701E-35   0.00000E+00
   9.01   4.08631E-35   1.24196E-02   4.08600E-35   0.00000E+00
   9.10   4.08530E-35   1.26703E-02   4.08498E-35   0.00000E+00
   9.19   4.08429E-35   1.29235E-02   4.08394E-35   0.00000E+00
   9.28   4.08326E-35   1.31793E-02   4.08290E-35   0.00000E+00
   9.37   4.08222E-35   1.34375E-02   4.08185E-35   0.00000E+00
   9.46   4.08117E-35   1.36983E-02   4.08079E-35   0.00000E+00
   9.55   4.08011E-35   1.39617E-02   4.07971E-35   0.00000E+00
   9.64   4.07904E-35   1.42276E-02   4.07863E-35   0.00000E+00
   9.73   4.07797E-35   1.44960E-02   4.07754E-35   0.00000E+00
   9.82   4.07688E-35   1.47670E-02   4.07644E-35   0.00000E+00
   9.91   4.07578E-35   1.50405E-02   4.07532E-35   0.00000E+00
  10.00   4.07468E-35   1.53166E-02   4.07420E-35   0.00000E+00
  10.09   4.07356E-35   1.55952E-02   4.07307E-35   0.00000E+00
  10.18   4.07244E-35   1.58765E-02   4.07192E-35   0.00000E+00
  10.27   4.07130E-35   1.61601E-02   4.07077E-35   0.00000E+00
  10.36   4.07016E-35   1.64464E-02   4.06961E-35   0.00000E+00
  10.45   4.06900E-35   1.67352E-02   4.06843E-35   0.00000E+00
  10.54   4.06784E-35   1.70266E-02   4.06725E-35   0.00000E+00
  10.63   4.06667E-35   1.73205E-02   4.06606E-35   0.00000E+00
  10.72   4.06549E-35   1.76170E-02   4.06486E-35   0.00000E+00
  10.81   4.06429E-35   1.79160E-02   4.06364E-35   0.00000E+00
  10.90   4.06309E-35   1.82177E-02   4.06242E-35   0.00000E+00
  10.99   4.06188E-35   1.85218E-02   4.06119E-35   0.00000E+00
  11.08   4.06066E-35   1.88286E-02   4.05994E-35   0.00000E+00
  11.17   4.05943E-35   1.91378E-02   4.05869E-35   0.00000E+00
  11.26   4.05819E-35   1.94497E-02   4.05743E-35   0.00000E+00
  11.35   4.05694E-35   1.97641E-02   4.05615E-35   0.00000E+00
  11.44   4.05569E-35   2.00811E-02   4.05487E-35   0.00000E+00
  11.53   4.05442E-35   2.04007E-02   4.05357E-35   0.00000E+00
  11.62   4.05314E-35   2.07228E-02   4.05227E-35   0.00000E+00
  11.71   4.05185E-35   2.10475E-02   4.05096E-35   0.00000E+00
  11.80   4.05056E-35   2.13748E-02   4.04963E-35   0.00000E+00
  11.89   4.04925E-35   2.17047E-02   4.04830E-35   0.00000E+00
  11.98   4.04794E-35   2.20371E-02   4.04696E-35   0.00000E+00
  12.07   4.04662E-35   2.23722E-02   4.04560E-35   0.00000E+00
  12.16   4.04528E-35   2.27097E-02   4.04424E-35   0.00000E+00
  12.25   4.04394E-35   2.30499E-02   4.04287E-35   0.00000E+00
  12.34   4.04259E-35   2.33927E-02   4.04148E-35   0.00000E+00
  12.43   4.04123E-35   2.37381E-02   4.04009E-35   0.00000E+00
  12.52   4.03986E-35   2.40860E-02   4.03869E-35   0.00000E+00
  12.61   4.03848E-35   2.44365E-02   4.03727E-35   0.00000E+00
  12.70   4.03709E-35   2.47896E-02   4.03585E-35   0.00000E+00
  12.79   4.03569E-35   2.51453E-02   4.03442E-35   0.00000E+00
  12.88   4.03429E-35   2.55036E-02   4.03297E-35   0.00000E+00
  12.97   4.03287E-35   2.58646E-02   4.03152E-35   0.00000E+00
  13.06   4.03144E-35   2.62280E-02   4.03006E-35   0.00000E+00
  13.15   4.03001E-35   2.65941E-02   4.02858E-35   0.00000E+00
  13.24   4.02856E-35   2.69628E-02   4.02710E-35   0.00000E+00
  13.33   4.02711E-35   2.73340E-02   4.02561E-35   0.00000E+00
  13.42   4.02565E-35   2.77079E-02   4.02410E-35   0.00000E+00
  13.51   4.02418E-35   2.80844E-02   4.02259E-35   0.00000E+00
  13.60   4.02270E-35   2.84635E-02   4.02107E-35   0.00000E+00
  13.69   4.02121E-35   2.88453E-02   4.01954E-35   0.00000E+00
  13.78   4.01971E-35   2.92295E-02   4.01799E-35   0.00000E+00
  13.87   4.01820E-35   2.96164E-02   4.01644E-35   0.00000E+00
  13.96   4.01669E-35   3.00060E-02   4.01488E-35   0.00000E+00
  14.05   4.01516E-35   3.03981E-02   4.01330E-35   0.00000E+00
  14.14   4.01363E-35   3.07929E-02   4.01172E-35   0.00000E+00
  14.23   4.01208E-35   3.11904E-02   4.01013E-35   0.00000E+00
  14.32   4.01053E-35   3.15903E-02   4.00853E-35   0.00000E+00
  14.41   4.00897E-35   3.19930E-02   4.00692E-35   0.00000E+00
  14.50   4.00740E-35   3.23983E-02   4.00529E-35   0.00000E+00
  14.59   4.00582E-35   3.28061E-02   4.00366E-35   0.00000E+00
  14.68   4.00423E-35   3.32166E-02   4.00202E-35   0.00000E+00
  14.77   4.00263E-35   3.36298E-02   4.00037E-35   0.00000E+00
  14.86   4.00103E-35   3.40456E-02   3.99871E-35   0.00000E+00
  14.95   3.99941E-35   3.44639E-02   3.99704E-35   0.00000E+00
  15.05   3.99779E-35   3.48850E-02   3.99535E-35   0.00000E+00
  15.14   3.99616E-35   3.53087E-02   3.99366E-35   0.00000E+00
  15.23   3.99451E-35   3.57350E-02   3.99196E-35   0.00000E+00
  15.32   3.99286E-35   3.61639E-02   3.99025E-35   0.00000E+00
  15.41   3.99120E-35   3.65955E-02   3.98853E-35   0.00000E+00
  15.50   3.98954E-35   3.70298E-02   3.98680E-35   0.00000E+00
  15.59   3.98786E-35   3.74667E-02   3.98506E-35   0.00000E+00
  15.68   3.98617E-35   3.79062E-02   3.98331E-35   0.00000E+00
  15.77   3.98448E-35   3.83484E-02   3.98155E-35   0.00000E+00
  15.86   3.98278E-35   3.87932E-02   3.97978E-35   0.00000E+00
  15.95   3.98107E-35   3.92407E-02   3.97800E-35   0.00000E+00
  16.04   3.97935E-35   3.96908E-02   3.97621E-35   0.00000E+00
  16.13   3.97762E-35   4.01437E-02   3.97441E-35   0.00000E+00
  16.22   3.97588E-35   4.05991E-02   3.97260E-35   0.00000E+00
  16.31   3.97413E-35   4.10573E-02   3.97078E-35   0.00000E+00
  16.40   3.97238E-35   4.15180E-02   3.96895E-35   0.00000E+00
  16.49   3.97062E-35   4.19814E-02   3.96712E-35   0.00000E+00
  16.58   3.96884E-35   4.24475E-02   3.96527E-35   0.00000E+00
  16.67   3.96706E-35   4.29163E-02   3.96341E-35   0.00000E+00
  16.76   3.96528E-35   4.33877E-02   3.96154E-35   0.00000E+00
  16.85   3.96348E-35   4.38619E-02   3.95966E-35   0.00000E+00
  16.94   3.96167E-35   4.43388E-02   3.95778E-35   0.00000E+00
  17.03   3.95986E-35   4.48182E-02   3.95588E-35   0.00000E+00
  17.12   3.95803E-35   4.53004E-02   3.95397E-35   0.00000E+00
  17.21   3.95620E-35   4.57852E-02   3.95205E-35   0.00000E+00
  17.30   3.95436E-35   4.62728E-02   3.95013E-35   0.00000E+00
  17.39   3.95252E-35   4.67630E-02   3.94819E-35   0.00000E+00
  17.48   3.95066E-35   4.72559E-02   3.94625E-35   0.00000E+00
  17.57   3.94879E-35   4.77514E-02   3.94429E-35   0.00000E+00
  17.66   3.94692E-35   4.82497E-02   3.94232E-35   0.00000E+00
  17.75   3.94504E-35   4.87507E-02   3.94035E-35   0.00000E+00
  17.84   3.94315E-35   4.92544E-02   3.93836E-35   0.00000E+00
  17.93   3.94125E-35   4.97607E-02   3.93637E-35   0.00000E+00
  18.02   3.93934E-35   5.02698E-02   3.93436E-35   0.00000E+00
  18.11   3.93743E-35   5.07815E-02   3.93235E-35   0.00000E+00
  18.20   3.93551E-35   5.12960E-02   3.93033E-35   0.00000E+00
  18.29   3.93358E-35   5.18132E-02   3.92829E-35   0.00000E+00
  18.38   3.93164E-35   5.23331E-02   3.92625E-35   0.00000E+00
  18.47   3.92969E-35   5.28558E-02   3.92420E-35   0.00000E+00
  18.56   3.92773E-35   5.33810E-02   3.92213E-35   0.00000E+00
  18.65   3.92577E-35   5.39090E-02   3.92006E-35   0.00000E+00
  18.74   3.92380E-35   5.44397E-02   3.91798E-35   0.00000E+00
  18.83   3.92182E-35   5.49732E-02   3.91589E-35   0.00000E+00
  18.92   3.91983E-35   5.55094E-02   3.91378E-35   0.00000E+00
  19.01   3.91783E-35   5.60483E-02   3.91167E-35   0.00000E+00
  19.10   3.91583E-35   5.65899E-02   3.90955E-35   0.00000E+00
  19.19   3.91382E-35   5.71343E-02   3.90742E-35   0.00000E+00
  19.28   3.91180E-35   5.76814E-02   3.90528E-35   0.00000E+00
  19.37   3.90977E-35   5.82312E-02   3.90313E-35   0.00000E+00
  19.46   3.90773E-35   5.87838E-02   3.90097E-35   0.00000E+00
  19.55   3.90569E-35   5.93391E-02   3.89880E-35   0.00000E+00
  19.64   3.90363E-35   5.98970E-02   3.89663E-35   0.00000E+00
  19.73   3.90157E-35   6.04578E-02   3.89444E-35   0.00000E+00
  19.82   3.89951E-35   6.10213E-02   3.89224E-35   0.00000E+00
  19.91   3.89743E-35   6.15875E-02   3.89003E-35   0.00000E+00
  20.00   3.89535E-35   6.21565E-02   3.88781E-35   0.00000E+00
  20.09   3.89326E-35   6.27283E-02   3.88559E-35   0.00000E+00
  20.18   3.89116E-35   6.33028E-02   3.88335E-35   0.00000E+00
  20.27   3.88905E-35   6.38801E-02   3.88111E-35   0.00000E+00
